date,close,open,high,low,change_pct,return_close,log_return_close,ma5,ma20
,6765.88,6697.03,6776.4,6659.98,0.0091,,,6765.88,6765.88
,6705.12,6636.54,6715.75,6630.7,0.0155,-0.008980354366320498,-0.009020920798512268,6735.5,6735.5
,6602.99,6555.77,6660.05,6521.92,0.0098,-0.015231643878111045,-0.015348836917048712,6691.329999999999,6691.329999999999
,6538.76,6737.93,6770.35,6534.05,-0.015600000000000001,-0.00972741136969757,-0.009775031702356623,6653.1875,6653.1875
,6642.16,6625.84,6689.75,6603.5,0.0038,0.01581339581204988,0.015689666748388516,6650.982000000001,6650.982000000001
,6617.32,6641.19,6666.63,6574.32,-0.0083,-0.0037397473111157042,-0.003746757649478374,6621.2699999999995,6645.371666666666
,6672.41,6713.61,6754.5,6638.9,-0.0092,0.008325122557168108,0.008290659863030386,6614.728,6649.234285714286
,6734.11,6672.14,6774.31,6646.87,-0.0005,0.009247033680484185,0.009204541614054065,6640.952,6659.84375
,6737.49,6826.47,6828.05,6724.72,-0.0166,0.0005019223030215958,0.0005017963821556926,6680.697999999999,6668.471111111111
,6850.92,6867.77,6869.91,6829.62,0.0006,0.016835646509308466,0.016695497821198862,6722.45,6686.716
,6846.61,6815.64,6855.13,6806.87,0.0021,-0.0006291125863387981,-0.0006293105606984051,6768.308,6701.251818181819
,6832.43,6785.36,6841.32,6770.56,0.0154,-0.0020710979594280587,-0.0020732456487024473,6800.312,6712.183333333333
,6728.8,6696.18,6730.11,6631.44,0.0013,-0.015167370906105204,-0.015283571949665876,6799.25,6713.461538461538
,6720.32,6787.59,6796.68,6707.51,-0.011200000000000002,-0.00126025442872435,-0.0012610492171641864,6795.816000000001,6713.951428571428
,6796.29,6769.77,6829.78,6763.11,0.0037,0.011304521213275631,0.011241102610422745,6784.889999999999,6719.440666666666
,6771.55,6788.52,6820.21,6766.71,-0.011699999999999999,-0.0036402213560633445,-0.0036468630849651866,6769.878,6722.6975
,6851.97,6882.32,6882.32,6820.62,0.0017000000000000001,0.011876158338932852,0.011806190194192273,6773.786,6730.301764705882
,6840.2,6879.17,6879.17,6814.26,0.0026,-0.0017177541641310023,-0.0017192311955087436,6796.066000000001,6736.407222222222
,6822.34,6860.5,6880.75,6820.69,-0.009899999999999999,-0.002611034765065301,-0.0026144494615601183,6816.469999999999,6740.93
,6890.59,6910.95,6920.34,6851.91,0.0,0.010003898955490254,0.00995419119768749,6835.33,6748.4130000000005
,6890.89,6897.74,6911.3,6870.73,0.0023,4.353763610964734e-05,4.3536688374276334e-05,6859.197999999999,6754.6635
,6875.16,6845.46,6877.28,6843.94,0.0123,-0.002282724002269698,-0.00228533338846695,6863.836,6763.1655
,6791.69,6772.07,6807.11,6772.07,0.0079,-0.012140808359369148,-0.012215109973364861,6854.134,6772.600499999999
,6738.44,6703.65,6749.53,6700.14,0.0058,-0.007840463860983027,-0.007871361907068443,6837.354000000001,6782.5845
,6699.4,6741.34,6741.75,6655.69,-0.0053,-0.005793625824374815,-0.0058104739805955015,6799.116,6785.4465
,6735.35,6736.75,6752.16,6722.03,0.0,0.005366152192733731,0.005351805698817049,6768.008,6791.348
,6735.13,6690.05,6744.35,6690.05,0.010700000000000001,-3.2663484451522784e-05,-3.2664017914747584e-05,6740.001999999999,6794.4839999999995
,6664.01,6613.27,6678.88,6603.76,0.0053,-0.010559558612825537,-0.010615706365319779,6714.466,6790.978999999999
,6629.07,6689.02,6709.34,6593.99,-0.0063,-0.005243089371114507,-0.0052568825980634105,6692.592,6785.558
,6671.06,6688.27,6724.12,6612.11,0.004,0.006334221844089827,0.006314244975138848,6686.923999999999,6776.565
,6644.31,6602.49,6680.7,6555.07,-0.0016,-0.004009857503904923,-0.004017918538789379,6668.716,6766.45
,6654.72,6622.53,6668.68,6620.71,0.015600000000000001,0.0015667541099075866,0.001565528031162674,6652.634,6757.5645
,6552.51,6740.49,6762.4,6550.78,-0.0271,-0.015359023369878821,-0.015478194983781751,6630.334,6748.75
,6735.11,6760.5,6764.58,6716.17,-0.0028000000000000004,0.027867183720436728,0.027485959970571898,6651.5419999999995,6749.489500000001
,6753.72,6723.87,6755.64,6718.09,0.0058,0.002763132302219251,0.002759321869698397,6668.0740000000005,6747.361
,6714.59,6746.14,6754.49,6699.96,-0.0038,-0.005793843985240743,-0.005810693412793414,6682.13,6744.513000000001
,6740.28,6733.86,6749.52,6717.78,0.0036,0.003825996821846145,0.0038186963112344006,6699.242,6738.9285
,6715.79,6722.14,6750.87,6705.67,0.0001,-0.0036333802156586215,-0.0036399969738822547,6731.897999999999,6732.7080000000005
,6715.35,6731.31,6731.94,6693.23,0.0006,-6.55172362447054e-05,-6.551938259257701e-05,6727.945999999999,6727.3585
,6711.2,6664.92,6718.48,6656.2,0.0034000000000000002,-0.0006179871488456445,-0.0006181781816116312,6719.442,6718.389
,6688.46,6656.19,6691.25,6641.0,0.0040999999999999995,-0.0033883657170102888,-0.003394119228470151,6714.216,6708.2675
,6661.21,6661.58,6677.31,6644.49,0.0026,-0.00407418150067429,-0.004082503589616102,6698.402,6697.57
,6643.7,6615.38,6648.97,6604.43,0.0059,-0.0026286515512947695,-0.002632112522238716,6683.9839999999995,6690.1705
,6604.72,6608.19,6619.0,6569.22,-0.005,-0.005867212547225109,-0.00588449226108204,6661.858,6683.4845000000005
,6637.97,6669.79,6672.66,6621.76,-0.0028000000000000004,0.005034278515970492,0.005021648905465325,6647.2119999999995,6680.4130000000005
